year,day,dayTran,time,lat,long,mag,deep,location
2017,7/11,42927,15:00:08,-49.19,164.18,6.6,10,新西兰奥克兰群岛地区
2017,7/11,42927,17:47:33,41.87,123.96,2.5,0,辽宁抚顺市新抚区（矿震）
2017,7/12,42928,7:07:35,24.47,122.46,2.9,50,台湾宜兰县海域
2017,7/12,42928,18:38:10,21.99,101.17,3,9,云南西双版纳州景洪市
2017,7/12,42928,18:42:16,37.68,101.57,3.9,9,青海海北州门源县
2017,7/13,42929,3:48:08,40.8,131.7,6.2,520,日本海
2017,7/13,42929,11:36:07,-4.8,153.15,6.4,40,新爱尔兰地区
2017,7/13,42929,22:03:57,23.33,100.52,3.6,5,云南普洱市景谷县
2017,7/14,42930,5:04:08,36.6,122.1,3.4,7,山东威海市荣成市海域
2017,7/14,42930,6:18:03,36.57,122.09,3,9,山东威海市荣成市海域
2017,7/15,42931,1:41:26,24.82,107.34,4,6,广西河池市南丹县
2017,7/15,42931,1:51:00,44.04,84.71,3,24,新疆塔城地区乌苏市
2017,7/15,42931,12:53:58,43.92,84.5,3,8,新疆塔城地区乌苏市
2017,7/16,42932,0:56:12,30.67,82.73,3.6,5,西藏日喀则市仲巴县
2017,7/17,42933,1:06:41,-20.41,-173.5,5.8,10,汤加群岛
2017,7/17,42933,6:55:59,32.38,105.36,4.9,21,四川广元市青川县
2017,7/17,42933,9:20:35,-20.32,-173.54,5.9,10,汤加群岛
2017,7/17,42933,19:05:07,54.54,168.82,6.3,10,科曼多尔群岛地区
2017,7/18,42934,7:34:13,54.36,168.95,7.8,10,科曼多尔群岛地区
2017,7/18,42934,7:59:44,40.78,78.76,3.7,7,新疆阿克苏地区柯坪县
2017,7/18,42934,10:05:18,-16.29,-73.74,6.3,30,秘鲁沿岸近海
2017,7/18,42934,20:57:59,36.58,122.09,2.6,7,山东威海市荣成市海域
2017,7/19,42935,16:47:56,28.65,106.72,2.6,11,重庆綦江区（有感）
2017,7/19,42935,22:17:31,41.89,82.54,3.3,8,新疆阿克苏地区拜城县
2017,7/20,42936,16:12:25,41.31,83.82,3.2,8,新疆阿克苏地区库车县
2017,7/20,42936,17:37:21,32.42,105.36,3,23,四川广元市青川县
2017,7/21,42937,6:31:13,36.9,27.53,6.8,10,土耳其
2017,7/22,42938,18:59:22,41.97,82.45,3,8,新疆阿克苏地区拜城县
2017,7/22,42938,23:15:31,42.12,85.74,3.1,8,新疆巴音郭楞州焉耆县
2017,7/23,42939,7:13:30,45.3,124.81,4.9,12,吉林松原市宁江区
2017,7/23,42939,18:36:36,41.14,75.31,4.2,8,吉尔吉斯斯坦
2017,7/23,42939,18:43:54,40.01,77.85,3.1,7,新疆克孜勒苏州阿图什市
2017,7/25,42941,5:46:36,41.71,88.51,4,7,新疆吐鲁番市托克逊县
2017,7/25,42941,11:43:10,31.12,110.07,3.3,4,重庆巫山县
2017,7/26,42942,4:49:11,32.12,104.5,2.9,20,四川绵阳市平武县
2017,7/26,42942,12:26:38,35.78,76.2,3.4,8,克什米尔地区
2017,7/27,42943,1:45:40,26.98,100.78,2.9,5,云南丽江市宁蒗县
2017,7/27,42943,12:52:48,38.23,74.23,3.4,167,塔吉克斯坦
2017,7/27,42943,13:15:44,22.73,101.2,2.9,13,云南普洱市思茅区
2017,7/27,42943,15:08:13,21.73,121.46,3.9,87,台湾屏东县海域
2017,7/28,42944,1:43:09,45.26,124.73,3,14,吉林松原市宁江区
2017,7/28,42944,1:53:26,13.41,-49.4,5.8,20,大西洋
2017,7/29,42945,3:21:49,41.86,123.91,2.4,0,辽宁抚顺市新抚区（矿震）
2017,7/29,42945,7:06:51,22.78,100.37,3.4,13,云南普洱市澜沧县
2017,7/30,42946,7:48:00,39.78,118.46,2.1,7,河北唐山市古冶区
2017,7/30,42946,8:04:07,28.13,104.68,3,8,四川宜宾市筠连县
2017,7/30,42946,11:12:31,39.14,74.39,3.6,6,新疆克孜勒苏州阿克陶县
2017,7/31,42947,0:33:46,23.95,108.58,3.7,7,广西来宾市忻城县
2017,7/31,42947,21:59:04,22.78,100.37,2.8,15,云南普洱市澜沧县
2017,8/1,42948,6:31:02,24.01,108.63,3,2,广西来宾市忻城县
2017,8/1,42948,15:38:17,23.54,97.84,3.3,13,缅甸
